image_id,expert_grade,expert_score,grader_id,notes
TOM_A_001,A,89.9,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_002,A,91.1,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_003,A,92.6,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_004,A,93.4,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_005,A,94.1,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_006,A,90.4,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_007,A,92.2,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_008,A,92.3,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_009,A,91.5,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_010,A,93.8,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_011,A,90.2,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_012,A,91.0,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_013,A,91.9,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_014,A,93.9,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_015,A,92.9,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_016,A,92.5,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_017,A,90.4,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_018,A,92.2,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_019,A,92.0,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_020,A,90.7,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_021,A,89.5,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_022,A,92.7,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_023,A,92.4,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_024,A,92.0,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_025,A,91.9,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_026,A,94.1,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_027,A,92.8,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_028,A,92.4,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_029,A,91.9,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_030,A,95.8,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_031,A,91.9,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_032,A,93.0,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_033,A,94.4,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_034,A,92.2,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_035,A,90.8,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_036,A,92.0,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_037,A,94.8,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_038,A,92.5,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_039,A,93.5,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_040,A,91.5,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_041,A,91.6,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_042,A,91.1,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_043,A,91.4,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_044,A,88.6,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_045,A,94.5,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_046,A,93.8,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_047,A,90.9,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_048,A,91.5,EXT_AGRONOMIST_03,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_049,A,93.1,EXT_AGRONOMIST_01,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
TOM_A_050,A,90.7,EXT_AGRONOMIST_02,"Excellent uniform crimson color, minimal surface blemishes, high circularity."
