image_id,image_path,produce_type,grade,expert_score,colour_score,damage_score,shape_score,size_score,surface_defect_score,lighting_condition,background_condition,split
TOM_A_001,images/train/TOM_A_001.jpg,Tomato,A,89.9,87.2,90.6,86.3,92.4,94.0,diffuse_daylight,neutral_gray_tray,train
TOM_A_002,images/train/TOM_A_002.jpg,Tomato,A,91.1,98.0,88.9,89.5,85.7,90.9,greenhouse_filtered,wooden_grading_bench,train
TOM_A_003,images/train/TOM_A_003.jpg,Tomato,A,92.6,88.1,92.2,97.2,91.1,97.9,direct_sunlight,white_inspection_mat,train
TOM_A_004,images/train/TOM_A_004.jpg,Tomato,A,93.4,90.7,99.0,94.7,89.5,89.4,shade_overcast,burlap_fabric,train
TOM_A_005,images/train/TOM_A_005.jpg,Tomato,A,94.1,95.4,98.7,89.4,86.1,95.6,diffuse_daylight,neutral_gray_tray,train
TOM_A_006,images/train/TOM_A_006.jpg,Tomato,A,90.4,87.1,93.3,95.8,86.3,88.7,shade_overcast,white_inspection_mat,train
TOM_A_007,images/train/TOM_A_007.jpg,Tomato,A,92.2,94.2,90.5,89.4,90.2,97.1,shade_overcast,white_inspection_mat,train
TOM_A_008,images/train/TOM_A_008.jpg,Tomato,A,92.3,91.2,91.7,91.1,92.2,96.6,diffuse_daylight,wooden_grading_bench,train
TOM_A_009,images/train/TOM_A_009.jpg,Tomato,A,91.5,89.4,96.6,87.8,87.6,92.6,diffuse_daylight,neutral_gray_tray,train
TOM_A_010,images/train/TOM_A_010.jpg,Tomato,A,93.8,98.2,94.3,96.1,83.0,93.8,indoor_fluorescent,burlap_fabric,train
TOM_A_011,images/train/TOM_A_011.jpg,Tomato,A,90.2,87.7,91.8,93.1,89.9,88.7,shade_overcast,white_inspection_mat,train
TOM_A_012,images/train/TOM_A_012.jpg,Tomato,A,91.0,92.6,90.8,88.7,84.9,97.1,greenhouse_filtered,wooden_grading_bench,train
TOM_A_013,images/train/TOM_A_013.jpg,Tomato,A,91.9,87.7,91.4,96.8,89.6,97.0,indoor_fluorescent,burlap_fabric,train
TOM_A_014,images/train/TOM_A_014.jpg,Tomato,A,93.9,96.2,89.2,97.1,93.2,96.7,shade_overcast,wooden_grading_bench,train
TOM_A_015,images/train/TOM_A_015.jpg,Tomato,A,92.9,95.5,91.5,87.3,95.5,94.1,indoor_fluorescent,burlap_fabric,train
TOM_A_016,images/train/TOM_A_016.jpg,Tomato,A,92.5,95.7,89.9,94.1,89.8,93.7,greenhouse_filtered,neutral_gray_tray,train
TOM_A_017,images/train/TOM_A_017.jpg,Tomato,A,90.4,87.9,88.5,86.2,95.3,97.8,diffuse_daylight,wooden_grading_bench,train
TOM_A_018,images/train/TOM_A_018.jpg,Tomato,A,92.2,93.3,91.5,96.9,83.7,95.6,direct_sunlight,wooden_grading_bench,train
TOM_A_019,images/train/TOM_A_019.jpg,Tomato,A,92.0,95.0,95.8,88.5,86.5,88.6,direct_sunlight,burlap_fabric,train
TOM_A_020,images/train/TOM_A_020.jpg,Tomato,A,90.7,88.9,92.8,90.4,92.5,88.3,greenhouse_filtered,white_inspection_mat,train
TOM_A_021,images/train/TOM_A_021.jpg,Tomato,A,89.5,89.3,88.9,89.2,92.7,88.2,direct_sunlight,burlap_fabric,train
TOM_A_022,images/train/TOM_A_022.jpg,Tomato,A,92.7,95.3,96.6,91.0,85.6,89.6,direct_sunlight,wooden_grading_bench,train
TOM_A_023,images/train/TOM_A_023.jpg,Tomato,A,92.4,87.4,98.6,89.8,89.1,94.4,indoor_fluorescent,neutral_gray_tray,train
TOM_A_024,images/train/TOM_A_024.jpg,Tomato,A,92.0,88.8,96.8,92.9,87.3,91.4,diffuse_daylight,wooden_grading_bench,train
TOM_A_025,images/train/TOM_A_025.jpg,Tomato,A,91.9,93.2,91.9,93.6,87.2,92.5,diffuse_daylight,neutral_gray_tray,train
TOM_A_026,images/train/TOM_A_026.jpg,Tomato,A,94.1,98.3,95.0,94.2,83.8,95.5,direct_sunlight,neutral_gray_tray,train
TOM_A_027,images/train/TOM_A_027.jpg,Tomato,A,92.8,93.9,96.7,92.3,86.3,90.3,indoor_fluorescent,neutral_gray_tray,train
TOM_A_028,images/train/TOM_A_028.jpg,Tomato,A,92.4,95.2,95.7,85.0,88.3,92.5,diffuse_daylight,white_inspection_mat,train
TOM_A_029,images/train/TOM_A_029.jpg,Tomato,A,91.9,91.6,91.5,97.3,89.0,90.5,shade_overcast,white_inspection_mat,train
TOM_A_030,images/train/TOM_A_030.jpg,Tomato,A,95.8,98.3,96.9,93.7,94.0,93.5,shade_overcast,burlap_fabric,train
TOM_A_031,images/train/TOM_A_031.jpg,Tomato,A,91.9,93.9,90.6,97.1,88.1,89.6,shade_overcast,burlap_fabric,train
TOM_A_032,images/train/TOM_A_032.jpg,Tomato,A,93.0,89.6,96.7,90.0,94.9,92.1,shade_overcast,white_inspection_mat,train
TOM_A_033,images/train/TOM_A_033.jpg,Tomato,A,94.4,97.9,92.2,90.0,94.0,97.9,shade_overcast,burlap_fabric,train
TOM_A_034,images/train/TOM_A_034.jpg,Tomato,A,92.2,90.9,91.5,94.0,91.1,95.2,diffuse_daylight,wooden_grading_bench,train
